Load_Case,Time_Stamp
LC1,2009-06-29 10:08:59.094
LC1,2009-06-29 10:41:51.094
LC2a,2009-06-29 11:33:43.094
LC2a,2009-06-29 11:43:13.094
LC2a,2009-06-29 11:52:22.094
LC2a,2009-06-29 12:04:32.094
LC2a,2009-06-29 12:16:08.094
LC2a,2009-06-29 12:31:59.094
LC2a,2009-06-29 12:47:49.094
LC2a,2009-06-29 13:07:07.094
LC2a,2009-06-29 13:27:11.094
LC2a,2009-06-29 13:43:48.094
LC2b,2009-06-29 14:03:10.094
LC2b,2009-06-29 14:09:37.094
LC2b,2009-06-29 14:17:55.094
LC2b,2009-06-29 14:27:16.094
LC2b,2009-06-29 14:39:56.094
LC2b,2009-06-29 14:52:26.094
LC2b,2009-06-29 15:19:09.094
LC2b,2009-06-30 11:05:19.241